[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_6, 400000.0_7]___400000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_3, 300000.0_7, 500000.0_6]___500000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_6, 550000.0_7]___550000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_7, 650000.0_6]___650000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_6, 550000.0_7]___550000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_6, 550000.0_7]___550000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_7, 650000.0_6]___650000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_7, 650000.0_6]___650000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_6, 550000.0_7]___550000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_7, 650000.0_6]___650000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_6, 550000.0_7]___550000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_6, 550000.0_7]___550000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_7, 650000.0_6]___650000.0
[0.0_0, 50000.0_1, 250000.0_4, 450000.0_7, 650000.0_6]___650000.0
